date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:33	17043/17043	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2029%20Jul%202019%2020:57:22%20GMT	http://blog.lan/replacing-land-line-with-voip	/home/rob/websites/blog/replacing-land-line-with-voip.html	(from http://blog.lan/)
21:57:33	19538/19538	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2029%20Jul%202019%2020:57:22%20GMT	http://blog.lan/skiing-courchevel	/home/rob/websites/blog/skiing-courchevel.html	(from http://blog.lan/)
21:57:33	18251/18251	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2029%20Jul%202019%2020:57:22%20GMT	http://blog.lan/techcrunch-disrupt-london-2017	/home/rob/websites/blog/techcrunch-disrupt-london-2017.html	(from http://blog.lan/)
21:57:33	21001/21001	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2029%20Jul%202019%2020:57:22%20GMT	http://blog.lan/tag:conference	/home/rob/websites/blog/tag_conference.html	(from http://blog.lan/)
21:57:33	29375/29375	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2029%20Jul%202019%2020:57:22%20GMT	http://blog.lan/into-the-arctic-circle-norway	/home/rob/websites/blog/into-the-arctic-circle-norway.html	(from http://blog.lan/)
21:57:33	17572/17572	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2029%20Jul%202019%2020:57:22%20GMT	http://blog.lan/3d-printed-backpack-lacing-router	/home/rob/websites/blog/3d-printed-backpack-lacing-router.html	(from http://blog.lan/)
21:57:34	17504/17504	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2029%20Jul%202019%2020:57:23%20GMT	http://blog.lan/strida-folding-bicycle	/home/rob/websites/blog/strida-folding-bicycle.html	(from http://blog.lan/)
21:57:34	16569/16569	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2029%20Jul%202019%2020:57:23%20GMT	http://blog.lan/sometimes-you-just-cant-decide-whether-to-scoot-or-to-cycle	/home/rob/websites/blog/sometimes-you-just-cant-decide-whether-to-scoot-or-to-cycle.html	(from http://blog.lan/)
21:57:34	16414/16414	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2029%20Jul%202019%2020:57:23%20GMT	http://blog.lan/3d-printed-laptop-stand	/home/rob/websites/blog/3d-printed-laptop-stand.html	(from http://blog.lan/)
21:57:34	22198/22198	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2029%20Jul%202019%2020:57:23%20GMT	http://blog.lan/tag:3dprinting	/home/rob/websites/blog/tag_3dprinting.html	(from http://blog.lan/)
21:57:34	23307/23307	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2029%20Jul%202019%2020:57:23%20GMT	http://blog.lan/tuscany-and-back-in-a-weekend-by-bike	/home/rob/websites/blog/tuscany-and-back-in-a-weekend-by-bike.html	(from http://blog.lan/)
21:57:34	19029/19029	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2029%20Jul%202019%2020:57:23%20GMT	http://blog.lan/tag:scooting	/home/rob/websites/blog/tag_scooting.html	(from http://blog.lan/)
